ISSN	TÌtulo	Estrato
0396-3561	GAZETA DE FÕSICA	B1
0363-6771	GENERAL DENTISTRY	B2
1389-2576	GENETIC PROGRAMMING AND EVOLVABLE MACHINES	A3
1678-4685	GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION)	A3
0343-2521	GEOJOURNAL	A3
1519-874X	GEOLOGIA USP. S…RIE CIENTÍFICA	B2
0169-555X	GEOMORPHOLOGY (AMSTERDAM)	A1
0956-540X	GEOPHYSICAL JOURNAL INTERNATIONAL (PRINT)	A2
0016-8025	GEOPHYSICAL PROSPECTING (PRINT)	A3
1991-9603	GEOSCIENTIFIC MODEL DEVELOPMENT	A1
1984-2430	GEPROS GEST√O DA PRODU«√O, OPERA«’ES E SISTEMAS	B4
1569-1101	GERONTECHNOLOGY (VALKENSWAARD. GEDRUKT)	B1
0104-530X	GEST√O & PRODU«√O (UFSCAR. IMPRESSO)	B1
1981-1543	GEST√O & TECNOLOGIA DE PROJETOS	A2
2175-733X	GEST√O EM FOCO - UNISEPE	B3
1548-1603	GISCIENCE AND REMOTE SENSING	A1
0017-0895	GLASGOW MATHEMATICAL JOURNAL (PRINT)	A4
2675-5602	GLOBAL ACADEMIC NURSING JOURNAL	B4
2578-2762	GLOBAL CLINICAL ENGINEERING JOURNAL	B3
2211-8160	GLOBAL HEART (PRINT)	A2
1916-9736	GLOBAL JOURNAL OF HEALTH SCIENCE	B4
1080-5370	GPS SOLUTIONS (HEIDELBERG)	A1
2364-4966	GRANULAR COMPUTING	A4
2160-1836	G3: GENES, GENOMES, GENETICS (BETHESDA)	A4
2468-0672	HARDWAREX	A4
1043-3074	HEAD & NECK	A1
2190-7188	HEALTH AND TECHNOLOGY	B2
1833-3583	HEALTH INFORMATION MANAGEMENT (PRINT)	B1
1791-809X	HEALTH SCIENCE JOURNAL	B2
1547-5271	HEART RHYTHM	A1
0392-8764	HEAT AND TECHNOLOGY	A3
1809-1261	HEGEMONIA (BRASÍLIA)	B1
2405-8440	HELIYON	A4
2531-1379	HEMATOLOGY, TRANSFUSION AND CELL THERAPY (IMPRESSO)	B3
2071-5773	HERPETOLOGY NOTES	B3
2397-7264	HIGH VOLTAGE	A1
0018-1560	HIGHER EDUCATION (AMSTERDAM)	A1
1981-6081	HIPERTEXTUS REVISTA DIGITAL (UFPE)	B4
1050-9631	HIPPOCAMPUS (NEW YORK, N.Y. PRINT)	A2
1807-1600	HOLOS (NATAL. ONLINE)	A1
0960-3271	HUMAN & EXPERIMENTAL TOXICOLOGY	A4
2595-0711	HUMAN  REPRODUCTION ARCHIVES	C
1065-9471	HUMAN BRAIN MAPPING (PRINT)	A1
0167-9457	HUMAN MOVEMENT SCIENCE (PRINT)	A3
2358-8322	HUMANIDADES & INOVAÇÃO	B2
1809-1628	HUMANIDADES & TECNOLOGIA EM REVISTA (FINOM)	B2
1980-1726	HYGEIA : REVISTA BRASILEIRA DE GEOGRAFIA M…DICA E DA SA⁄DE (UBERLÂNDIA)	A1
0304-3843	HYPERFINE INTERACTIONS	B2
0916-9636	HYPERTENSION RESEARCH	A2
1348-4214	HYPERTENSION RESEARCH (ONLINE)	A2
1959-0318	I R B M NEWS	B2
1645-7641	IADIS INTERNATIONAL JOURNAL ON WWW/INTERNET	C
2237-4523	IBEROAMERICAN JOURNAL OF APPLIED COMPUTING	B2
2185-2766	ICIC EXPRESS LETTERS, PART B	B4
2032-944X	ICST TRANSACTIONS ON ENERGY WEB	B2
1699-4574	IE COMUNICACIONES	B3
1350-2360	IEE PROCEEDINGS. GENERATION, TRANSMISSION & DISTRIBUTION	A2
2169-3536	IEEE ACCESS	A3
0885-8985	IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE	A2
1045-9243	IEEE ANTENNAS & PROPAGATION MAGAZINE	A2
1536-1225	IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS	A1
1531-636X	IEEE CIRCUITS AND SYSTEMS MAGAZINE (NEW YORK, N.Y. 2001: PRINT)	A1
2325-6095	IEEE CLOUD COMPUTING	A1
1558-2558	IEEE COMMUNICATIONS LETTERS	A1
1089-7798	IEEE COMMUNICATIONS LETTERS (PRINT)	A1
0163-6804	IEEE COMMUNICATIONS MAGAZINE (PRINT)	A1
2471-2833	IEEE COMMUNICATIONS STANDARDS MAGAZINE	B2
1553-877X	IEEE COMMUNICATIONS SURVEYS AND TUTORIALS	A1
1556-603X	IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE	A1
0272-1716	IEEE COMPUTER GRAPHICS AND APPLICATIONS	A3
2162-2256	IEEE CONSUMER ELECTRONICS MAGAZINE	A2
1066-033X	IEEE CONTROL SYSTEMS	A1
2475-1456	IEEE CONTROL SYSTEMS LETTERS	A4
2168-2364	IEEE DESIGN & TEST	A2
0883-7554	IEEE ELECTRICAL INSULATION MAGAZINE	A3
0741-3106	IEEE ELECTRON DEVICE LETTERS (PRINT)	A1
1943-0663	IEEE EMBEDDED SYSTEMS LETTERS (IMPRESSO)	A2
1558-0571	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	A1
1545-598X	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS (PRINT)	A1
2168-6831	IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE	A1
1077-2618	IEEE INDUSTRY APPLICATIONS MAGAZINE (PRINT)	A4
1094-6969	IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE	A4
1939-1390	IEEE INTELLIGENT TRANSPORTATION SYSTEMS MAGAZINE	A1
1089-7801	IEEE INTERNET COMPUTING	A1
2327-4662	IEEE INTERNET OF THINGS JOURNAL	A1
2576-3199	IEEE INTERNET OF THINGS MAGAZINE	B1
2168-2208	IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS	A1
2168-2194	IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS	A1
2687-9735	IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN INDUSTRIAL ELECTRONICS	B2
2168-6777	IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS	A1
0364-9059	IEEE JOURNAL OF OCEANIC ENGINEERING	A1
2156-3381	IEEE JOURNAL OF PHOTOVOLTAICS	A1
0018-9197	IEEE JOURNAL OF QUANTUM ELECTRONICS	A2
1939-1404	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	A1
1077-260X	IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS	A1
1932-4553	IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING	A1
0018-9200	IEEE JOURNAL OF SOLID-STATE CIRCUITS	A1
2168-6734	IEEE JOURNAL OF THE ELECTRON DEVICES SOCIETY	A3
2168-2372	IEEE JOURNAL OF TRANSLATIONAL ENGINEERING IN HEALTH AND MEDICINE	A4
2156-3357	IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS	A2
0733-8716	IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS (PRINT)	A1
0272-1732	IEEE MICRO	A2
1531-1309	IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS	A2
1070-986X	IEEE MULTIMEDIA	A1
0890-8044	IEEE NETWORK	A1
2576-3156	IEEE NETWORKING LETTERS	B2
2644-1314	IEEE OPEN JOURNAL OF POWER ELECTRONICS	B2
2644-1322	IEEE OPEN JOURNAL OF SIGNAL PROCESSING	C
2644-125X	IEEE OPEN JOURNAL OF THE COMMUNICATIONS SOCIETY	B1
1943-0655	IEEE PHOTONICS JOURNAL	A2
1041-1135	IEEE PHOTONICS TECHNOLOGY LETTERS	A2
0278-6648	IEEE POTENTIALS	B2
1937-3333	IEEE REVIEWS IN BIOMEDICAL ENGINEERING	A2
1070-9932	IEEE ROBOTICS & AUTOMATION MAGAZINE	A2
2377-3766	IEEE ROBOTICS AND AUTOMATION LETTERS	A1
1558-1748	IEEE SENSORS JOURNAL	A1
1530-437X	IEEE SENSORS JOURNAL	A1
2475-1472	IEEE SENSORS LETTERS	A4
1070-9908	IEEE SIGNAL PROCESSING LETTERS	A1
1053-5888	IEEE SIGNAL PROCESSING MAGAZINE (PRINT)	A1
0740-7459	IEEE SOFTWARE	A2
2573-9603	IEEE SOLID-STATE CIRCUITS LETTERS	A4
1937-9234	IEEE SYSTEMS JOURNAL	A1
1932-8184	IEEE SYSTEMS JOURNAL	A1
1943-068X	IEEE T COMP INTEL AI	A2
0018-9251	IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS	A1
1557-9603	IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS	A1
0018-926X	IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION (PRINT)	A1
1051-8223	IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY (PRINT)	A3
0018-9286	IEEE TRANSACTIONS ON AUTOMATIC CONTROL (PRINT)	A1
1545-5955	IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING	A1
2332-7790	IEEE TRANSACTIONS ON BIG DATA	A3
1932-4545	IEEE TRANSACTIONS ON BIOMEDICAL CIRCUITS AND SYSTEMS	A1
0018-9294	IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING	A1
1558-2531	IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING (ELETRONIC)	A1
0018-9316	IEEE TRANSACTIONS ON BROADCASTING	A1
1051-8215	IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY (PRINT)	A1
1558-0806	IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. I, REGULAR PAPERS (ONLINE)	A2
1549-8328	IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. I, REGULAR PAPERS (PRINT)	A2
1549-7747	IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. II, EXPRESS BRIEFS	A2
2379-8920	IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS	A3
2332-7731	IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING	A2
0090-6778	IEEE TRANSACTIONS ON COMMUNICATIONS (PRINT)	A1
2333-9403	IEEE TRANSACTIONS ON COMPUTATIONAL IMAGING (ONLINE)	A2
2329-924X	IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS	A1
0278-0070	IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS	A2
1557-9956	IEEE TRANSACTIONS ON COMPUTERS	A1
0018-9340	IEEE TRANSACTIONS ON COMPUTERS (PRINT)	A1
0098-3063	IEEE TRANSACTIONS ON CONSUMER ELECTRONICS	A2
1063-6536	IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY (PRINT)	A1
2168-2267	IEEE TRANSACTIONS ON CYBERNETICS	A1
1545-5971	IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING	A1
1530-4388	IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY	A3
1070-9878	IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION	A2
0018-9359	IEEE TRANSACTIONS ON EDUCATION	A2
0018-9375	IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY (PRINT)	A2
0018-9383	IEEE TRANSACTIONS ON ELECTRON DEVICES	A2
2471-285X	IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE	A1
2168-6750	IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING	A1
0885-8969	IEEE TRANSACTIONS ON ENERGY CONVERSION	A1
0018-9391	IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT	A2
1089-778X	IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION	A1
1063-6706	IEEE TRANSACTIONS ON FUZZY SYSTEMS	A1
0196-2892	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	A1
2473-2400	IEEE TRANSACTIONS ON GREEN COMMUNICATIONS AND NETWORKING	A3
2168-2291	IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS	A1
1057-7149	IEEE TRANSACTIONS ON IMAGE PROCESSING	A1
0278-0046	IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS (1982. PRINT)	A1
1551-3203	IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS	A1
0093-9994	IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS	A1
1556-6013	IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY	A1
0018-9448	IEEE TRANSACTIONS ON INFORMATION THEORY	A1
0018-9456	IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT	A1
1524-9050	IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS (PRINT)	A1
2379-8858	IEEE TRANSACTIONS ON INTELLIGENT VEHICLES	A1
1558-2191	IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING	A1
0018-9464	IEEE TRANSACTIONS ON MAGNETICS	A3
0278-0062	IEEE TRANSACTIONS ON MEDICAL IMAGING (PRINT)	A1
0018-9480	IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES	A1
1520-9210	IEEE TRANSACTIONS ON MULTIMEDIA	A1
1536-125X	IEEE TRANSACTIONS ON NANOTECHNOLOGY	A2
1932-4537	IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT	A1
2327-4697	IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING	A1
2162-237X	IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS	A1
1558-0210	IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING	A1
1534-4320	IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING	A1
0018-9499	IEEE TRANSACTIONS ON NUCLEAR SCIENCE	A2
1558-2183	IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS	A1
0093-3813	IEEE TRANSACTIONS ON PLASMA SCIENCE	B1
0885-8977	IEEE TRANSACTIONS ON POWER DELIVERY	A1
0885-8993	IEEE TRANSACTIONS ON POWER ELECTRONICS	A1
0885-8950	IEEE TRANSACTIONS ON POWER SYSTEMS	A1
0018-9529	IEEE TRANSACTIONS ON RELIABILITY	A1
1552-3098	IEEE TRANSACTIONS ON ROBOTICS	A1
0894-6507	IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING	A3
1939-1374	IEEE TRANSACTIONS ON SERVICES COMPUTING	A1
2373-776X	IEEE TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING OVER NETWORKS	A2
1053-587X	IEEE TRANSACTIONS ON SIGNAL PROCESSING	A1
1949-3053	IEEE TRANSACTIONS ON SMART GRID	A1
0098-5589	IEEE TRANSACTIONS ON SOFTWARE ENGINEERING	A1
2377-3782	IEEE TRANSACTIONS ON SUSTAINABLE COMPUTING	A1
1949-3029	IEEE TRANSACTIONS ON SUSTAINABLE ENERGY	A1
2168-2216	IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS	A1
2332-7782	IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION	A1
0885-3010	IEEE TRANSACTIONS ON ULTRASONICS, FERROELECTRICS, AND FREQUENCY CONTROL	A1
1525-8955	IEEE TRANSACTIONS ON ULTRASONICS, FERROELECTRICS, AND FREQUENCY CONTROL	A1
0018-9545	IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY	A1
1063-8210	IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS (PRINT)	A2
1536-1276	IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS	A1
1556-6072	IEEE VEHICULAR TECHNOLOGY MAGAZINE	A1
1536-1284	IEEE WIRELESS COMMUNICATIONS	A1
2162-2345	IEEE WIRELESS COMMUNICATIONS LETTERS	A1
2162-2337	IEEE WIRELESS COMMUNICATIONS LETTERS	A1
2329-9290	IEEE/ACM TRANSACTIONS ON AUDIO, SPEECH AND LANGUAGE PROCESSING	A1
1545-5963	IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS (PRINT)	A1
1063-6692	IEEE/ACM TRANSACTIONS ON NETWORKING (PRINT)	A1
1083-4435	IEEE/ASME TRANSACTIONS ON MECHATRONICS	A1
2329-9274	IEEE-CAA JOURNAL OF AUTOMATICA SINICA	A1
1932-8540	IEEE-RITA	A3
1349-2543	IEICE ELECTRONICS EXPRESS	B2
1751-858X	IET CIRCUITS, DEVICES & SYSTEMS (PRINT)	B1
1751-8628	IET COMMUNICATIONS (PRINT)	A3
1751-8601	IET COMPUTERS & DIGITAL TECHNIQUES (PRINT)	A4
1751-8652	IET CONTROL THEORY & APPLICATIONS (ONLINE)	A1
1751-8644	IET CONTROL THEORY & APPLICATIONS (PRINT)	A1
2398-3396	IET CYBER-PHYSICAL SYSTEMS: THEORY & APPLICATIONS	B4
1751-8679	IET ELECTRIC POWER APPLICATIONS (ONLINE)	A2
1751-8660	IET ELECTRIC POWER APPLICATIONS (PRINT)	A2
2042-9738	IET ELECTRICAL SYSTEMS IN TRANSPORTATION	A3
1751-8695	IET GENERATION, TRANSMISSION & DISTRIBUTION (ONLINE)	A2
1751-8687	IET GENERATION, TRANSMISSION & DISTRIBUTION (PRINT)	A2
1751-9659	IET IMAGE PROCESSING (PRINT)	A4
1751-9578	IET INTELLIGENT TRANSPORT SYSTEMS (ONLINE)	A1
1751-956X	IET INTELLIGENT TRANSPORT SYSTEMS (PRINT)	A1
1751-8733	IET MICROWAVES, ANTENNAS & PROPAGATION (ONLINE)	A3
1751-8725	IET MICROWAVES, ANTENNAS & PROPAGATION (PRINT)	A3
1751-8768	IET OPTOELECTRONICS (PRINT)	A3
1755-4543	IET POWER ELECTRONICS (ONLINE)	A2
1755-4535	IET POWER ELECTRONICS (PRINT)	A2
1751-8784	IET RADAR, SONAR & NAVIGATION (PRINT)	A3
1752-1424	IET RENEWABLE POWER GENERATION (ONLINE)	A2
1752-1416	IET RENEWABLE POWER GENERATION (PRINT)	A2
1751-8830	IET SCIENCE, MEASUREMENT & TECHNOLOGY (ONLINE)	A3
1751-8822	IET SCIENCE, MEASUREMENT & TECHNOLOGY (PRINT)	A3
1751-9683	IET SIGNAL PROCESSING (ONLINE)	A3
1751-9675	IET SIGNAL PROCESSING (PRINT)	A3
2515-2947	IET SMART GRID	A4
1751-8814	IET SOFTWARE (ONLINE)	A4
1751-8806	IET SOFTWARE (PRINT)	A4
2043-6394	IET WIRELESS SENSOR SYSTEMS	A4
2468-6018	IFAC JOURNAL OF SYSTEMS AND CONTROL	B2
2472-5854	IISE TRANSACTIONS	A2
2472-5838	IISE TRANSACTIONS ON OCCUPATIONAL ERGONOMICS AND HUMAN FACTORS	B1
0265-0754	IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION	A3
0262-8856	IMAGE AND VISION COMPUTING	A2
1074-7613	IMMUNITY (CAMBRIDGE, MASS.)	A1
2447-7567	IMPLANTNEWSPERIO INTERNATIONAL JOURNAL	C
2614-2589	INAJEEE (INDONESIAN JOURNAL OF ELECTRICAL AND ELECTRONICS ENGINEERING) (ONLINE)	B3
2178-2075	INCID: REVISTA DE DOCUMENTAÇÃO E CI NCIA DA INFORMAÇÃO	A3
1808-8678	INCLUSÃO SOCIAL (ONLINE)	A3
2236-269X	INDEPENDENT JOURNAL OF MANAGEMENT & PRODUCTION	B1
0975-1017	INDIAN JOURNAL OF ENGINEERING & MATERIALS SCIENCES	B1
0971-0426	INDIAN JOURNAL OF FIBRE AND TEXTILE RESEARCH (PRINT)	B2
0972-3919	INDIAN JOURNAL OF NUCLEAR MEDICINE (IMPRESSO)	B3
0019-5596	INDIAN JOURNAL OF PURE & APPLIED PHYSICS	A2
0888-5885	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH	A1
0926-6690	INDUSTRIAL CROPS AND PRODUCTS (PRINT)	A1
0036-8792	INDUSTRIAL LUBRICATION AND TRIBOLOGY	B1
2318-9312	INFARMA	C
1567-1348	INFECTION, GENETICS AND EVOLUTION (PRINT)	A2
1807-4545	INFOCOMP	B4
1981-8920	INFORMAÇÃO & INFORMAÇÃO	A2
1982-1654	INFORMÁTICA NA EDUCAÇ«√O	B1
1648-5831	INFORMATICS IN EDUCATION	A1
2352-9148	INFORMATICS IN MEDICINE UNLOCKED	A4
2078-2489	INFORMATION	C
0890-5401	INFORMATION AND COMPUTATION (PRINT)	A4
0950-5849	INFORMATION AND SOFTWARE TECHNOLOGY	A1
1566-2535	INFORMATION FUSION (PRINT)	A1
1570-1255	INFORMATION POLITY	A1
0306-4573	INFORMATION PROCESSING & MANAGEMENT	A1
2214-3173	INFORMATION PROCESSING IN AGRICULTURE	A1
0020-0190	INFORMATION PROCESSING LETTERS (PRINT)	A4
0020-0255	INFORMATION SCIENCES	A1
1350-4495	INFRARED PHYSICS & TECHNOLOGY	A3
0718-3305	INGENIARE. REVISTA CHILENA DE INGENIERÍA (EN LÍNEA)	B3
0718-3291	INGENIARE. REVISTA CHILENA DE INGENIERÍA (IMPRESA)	B3
0121-750X	INGENIERÍA	B2
2248-8723	INGENIERÍA E INVESTIGACIÓN	B1
1815-5901	INGENIERÍA ENERG…TICA	B3
1470-3297	INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL (PRINT)	A4
1614-5046	INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING (PRINT)	B2
2052-1553	INORGANIC CHEMISTRY FRONTIERS	A1
2357-7797	INOVAE - JOURNAL OF ENGINEERING AND TECHNOLOGY INNOVATION	B4
0020-1812	INSECTES SOCIAUX (PRINTED ED.)	A3
1073-9149	INSTRUMENTATION SCIENCE & TECHNOLOGY	A4
0167-6687	INSURANCE. MATHEMATICS & ECONOMICS	A2
1069-2509	INTEGRATED COMPUTER-AIDED ENGINEERING	A1
0167-9260	INTEGRATION (AMSTERDAM. PRINT)	A4
1137-3601	INTELIGENCIA ARTIFICIAL	B4
1988-3064	INTELIG NCIA ARTIFICIAL	B4
1679-8902	INTELLECTUS REVISTA ACAD MICA DIGITAL	B1
0342-4642	INTENSIVE CARE MEDICINE (PRINT)	A1
0953-5438	INTERACTING WITH COMPUTERS	A4
1049-4820	INTERACTIVE LEARNING ENVIRONMENTS	A1
1519-8847	INTERAGIR (UERJ)	B1
2595-6647	INTERAMERICAN JOURNAL OF MEDICINE AND HEALTH	C
2177-7691	INTERFACES DA EDUCAÇ«√O	A2
1980-5276	INTERIN	B1
2470-3524	INTERNAL MEDICINE REVIEW (IMR) (PRINT)	C
0964-8305	INTERNATIONAL BIODETERIORATION & BIODEGRADATION	A1
1677-6119	INTERNATIONAL BRAZILIAN JOURNAL OF UROLOGY	A4
1677-5538	INTERNATIONAL BRAZILIAN JOURNAL OF UROLOGY (IMPRESSO)	A4
0735-1933	INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER	A1
2455-295X	INTERNATIONAL EDUCATIONAL SCIENTIFIC RESEARCH JOURNAL	C
0143-2885	INTERNATIONAL ENDODONTIC JOURNAL (PRINT)	A1
0268-3768	INTERNATIONAL JOURNAL, ADVANCED MANUFACTURING TECHNOLOGY	A2
1863-0383	INTERNATIONAL JOURNAL: EMERGING TECHNOLOGIES IN LEARNING	A2
2411-3123	INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH	C
2411-2933	INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH	C
2040-7947	INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING (ONLINE)	A2
0029-5981	INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING (PRINT)	A1
0952-8059	INTERNATIONAL JOURNAL FOR THE SEMIOTICS OF LAW	A1
0300-9831	INTERNATIONAL JOURNAL FOR VITAMIN AND NUTRITION RESEARCH	B2
1943-3581	INTERNATIONAL JOURNAL NETWORK PROTOCOLS AND ALGORITHMS	C
1743-8225	INTERNATIONAL JOURNAL OF AD HOC AND UBIQUITOUS COMPUTING (IMPRESSO)	B1
0890-6327	INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING (PRINT)	A3
0143-7496	INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES	A2
2156-5570	INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS (ONLINE)	C
2456-1908	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	C
2349-6495	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	C
1433-3015	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY (INTERNET)	A2
1729-8814	INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS	A4
1729-8806	INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS (PRINT)	A4
2595-3931	INTERNATIONAL JOURNAL OF ADVANCES IN MEDICAL BIOTECHNOLOGY (IJAMB)	B3
2321-9009	INTERNATIONAL JOURNAL OF ADVANCES IN SCIENCE ENGINEERING AND TECHNOLOGY (ONLINE)	C
1746-1375	INTERNATIONAL JOURNAL OF AGENT-ORIENTED SOFTWARE ENGINEERING	B3
1741-9182	INTERNATIONAL JOURNAL OF AGILE SYSTEMS AND MANAGEMENT	A2
1687-5877	INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (ONLINE)	A4
1687-5869	INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (PRINT)	A4
0924-8579	INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS (PRINT)	A1
2349-5103	INTERNATIONAL JOURNAL OF APPLIED AND COMPUTATIONAL MATHEMATICS (PRINT)	A4
1546-542X	INTERNATIONAL JOURNAL OF APPLIED CERAMIC TECHNOLOGY	A3
1383-5416	INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS	B1
0973-4562	INTERNATIONAL JOURNAL OF APPLIED ENGINEERING RESEARCH	B3
1311-1728	INTERNATIONAL JOURNAL OF APPLIED MATHEMATICS	B3
0888-613X	INTERNATIONAL JOURNAL OF APPROXIMATE REASONING	A1
0976-2191	INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE & APPLICATIONS (IJAIA)	C
2642-1577	INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	B4
1499-2027	INTERNATIONAL JOURNAL OF AUDIOLOGY	A1
1476-8186	INTERNATIONAL JOURNAL OF AUTOMATION AND COMPUTING	A3
1751-8520	INTERNATIONAL JOURNAL OF AUTOMATION AND COMPUTING (ONLINE)	A3
1741-8089	INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY AND MANAGEMENT	A4
1470-9511	INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY AND MANAGEMENT	A3
0218-1274	INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS IN APPLIED SCIENCES AND ENGINEERING	A3
1758-0374	INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION (ONLINE)	A2
1758-0366	INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION (PRINT)	A2
0141-8130	INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES	A1
2573-2838	INTERNATIONAL JOURNAL OF BIOSENSORS & BIOELECTRONICS	C
2249-0183	INTERNATIONAL JOURNAL OF BIOTECH TRENDS AND TECHNOLOGY – IJBTT	C
